   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no  4012495.2      195.6        0.0       21.3      1.000        1.0        1.0 
    1    no  4013856.6      206.1        0.0        0.0      1.000        1.0        1.0 
    2    no  4014716.4       32.3        0.0       13.5      1.000        1.0        1.0 
    3    no  4018099.0       36.7        0.0       67.1      1.000        1.0        1.0 
    4    no  4019128.9      546.4        0.0       83.5      1.000        1.0        1.0 
    5    no  4022067.4       65.5        0.0      130.9      1.000        1.0        1.0 
    6    no  4024802.5       50.4        0.0      175.4      1.000        1.0        1.0 
    7    no  4025655.6       16.3        0.0      189.4      1.000        1.0        1.0 
    8    no  4027009.1      100.1        0.0      211.7      1.000        1.0        1.0 
    9    no  4029825.6       28.3        0.0      258.5      1.000        1.0        1.0 
   10    no  4030292.5       36.1        0.0      266.3      1.000        1.0        1.0 
   11    no  4030842.4      325.3        0.0      275.5      1.000        1.0        1.0 
   12    no       14.0        0.1       50.9      284.1      1.000        1.0        1.0 
   13    no  4032453.1       30.1        0.0      302.5      1.000        1.0        1.0 
   14    no  4032595.1       49.8        0.0      304.9      1.000        1.0        1.0 
   16    no       15.5        0.0       53.7      344.3      1.000        1.0        1.0 
   20    no       11.9        3.8       49.5      389.3      1.000        1.0        1.0 
   23    no  3994549.4      141.0        0.0      290.4      1.000        1.0        1.0 
   24    no  3994791.8      230.6        0.0      286.9      1.000        1.0        1.0 
   25    no  3996061.7       19.0        0.0      268.5      1.000        1.0        1.0 
   27    no  4000281.1       16.3        0.0      206.7      1.000        1.0        1.0 
   28    no  4001058.1       60.1        0.0      195.2      1.000        1.0        1.0 
   29    no  4001893.5       51.3        0.0      182.8      1.000        1.0        1.0 
   32    no       12.7        0.2       43.5      157.7      1.000        1.0        1.0 
   33    no  4005092.8       54.0        0.0      134.9      1.000        1.0        1.0 
   36    no       35.4        0.7       43.9      115.4      1.000        1.0        1.0 
   39    no       35.6        0.1      298.9       75.2      1.000        1.0        1.0 
   41    no  4012495.2      195.6        0.0       21.3      1.000        1.0        1.0 
   42    no  4013856.6      206.1        0.0        0.0      1.000        1.0        1.0 
   44    no  4014716.4       32.3        0.0       13.5      1.000        1.0        1.0 
   46    no  4018099.0       36.7        0.0       67.1      1.000        1.0        1.0 
   47    no  4019128.9      546.4        0.0       83.5      1.000        1.0        1.0 
   49    no  4022067.4       65.5        0.0      130.9      1.000        1.0        1.0 
   51    no  4024802.5       50.4        0.0      175.4      1.000        1.0        1.0 
   52    no  4025655.6       16.3        0.0      189.4      1.000        1.0        1.0 
   53    no  4027009.1      100.1        0.0      211.7      1.000        1.0        1.0 
   54    no  4029825.6       28.3        0.0      258.5      1.000        1.0        1.0 
   55    no  4030292.5       36.1        0.0      266.3      1.000        1.0        1.0 
   56    no  4030842.4      325.3        0.0      275.5      1.000        1.0        1.0 
   57    no  4032453.1       30.1        0.0      302.5      1.000        1.0        1.0 
   58    no  4032595.1       49.8        0.0      304.9      1.000        1.0        1.0 
   59    no       67.9       82.3      304.6      426.5      1.000        1.0        1.0 
   65    no  3994549.4      141.0        0.0      290.4      1.000        1.0        1.0 
   66    no  3994791.8      230.6        0.0      286.9      1.000        1.0        1.0 
   67    no  3996061.7       19.0        0.0      268.5      1.000        1.0        1.0 
   70    no  4000281.1       16.3        0.0      206.7      1.000        1.0        1.0 
   71    no  4001058.1       60.1        0.0      195.2      1.000        1.0        1.0 
   72    no  4001893.5       51.3        0.0      182.8      1.000        1.0        1.0 
   73    no  4005092.8       54.0        0.0      134.9      1.000        1.0        1.0 
