 # ID       Xpix           Wavelength          Intens       Line 
   78      638.7        4304.29165195          1180.0        ThI 
  125      995.5        4315.25441195        274542.0        ThI 
  128     1010.6        4315.70915331          1511.0       ThII 
  129     1024.0        4316.11016980         15962.0        ThI 
  131     1038.4        4316.54527532          3251.0          ? 
  133     1066.8        4317.38864842          3388.0          ? 
  135     1082.0        4317.84144328          5151.0        ThI 
  138     1101.1        4318.41560121         75970.0       ThII 
  143     1158.6        4320.12637107         60621.0       ThII 
  151     1241.2        4322.57883775          1576.0          ? 
  152     1246.6        4322.74035025          1357.0          ? 
  160     1332.5        4325.27420648         39475.0        ThI 
  162     1352.5        4325.85982637         14733.0        ThI 
  166     1380.6        4326.68392451          1563.0       NoID 
  169     1415.8        4327.71509914         12337.0        ThI 
  176     1456.8        4328.91538327        281603.0        ThI 
  184     1508.0        4330.41127459         17954.0        ThI 
  187     1523.0        4330.84406069         90260.0        ThI 
  189     1563.7        4332.02979562        223182.0       ArII 
  197     1738.2        4337.07080784        140086.0       ArII 
  198     1745.4        4337.27708154        471330.0        ThI 
  202     1774.4        4338.10765493         51397.0        ThI 
  214        0.0        4342.04857457          3303.0        ThI 
