 # ID       Xpix           Wavelength          Intens       Line 
    7       65.5        6289.48728013         30245.0       ThII 
    8        0.0        6289.58546577          1922.0          ? 
    9        0.0        6289.69128836          2777.0          ? 
   10        0.0        6289.76527149          2503.0          ? 
   11       78.6        6290.40354313          6653.0          ? 
   12       96.6        6291.19130862        286582.0        ThI 
   13      108.6        6291.62895012         20256.0        ThI 
   14        0.0        6292.78795094          4103.0          ? 
   15      133.2        6292.89110724        178189.0        ThI 
   16        0.0        6293.01739533          4054.0          ? 
   17        0.0        6293.14070123          7437.0          ? 
   18      140.7        6293.24236793        305281.0        ThI 
   19        0.0        6293.69331185          4718.0          ? 
   20        0.0        6293.83875680          4962.0          ? 
   21        0.0        6294.00038841          4110.0          ? 
   22        0.0        6294.15558674          3730.0          ? 
   23      164.4        6294.32871225          4296.0          ? 
   24      170.2        6294.50153685          4663.0          ? 
   25        0.0        6294.69154683          3454.0          ? 
   26      178.7        6294.86438943          3559.0          ? 
   27        0.0        6295.06093965          4493.0          ? 
   28        0.0        6295.16584349          2833.0          ? 
   29        0.0        6295.25439971          3780.0          ? 
   30      188.6        6295.43703467         19552.0          ? 
   31      219.7        6296.87334603        680979.0        ArI 
   33      243.5        6298.04801263          1624.0          ? 
   34        0.0        6298.21620647          2581.0          ? 
   35        0.0        6298.32311177          1466.0          ? 
   37        0.0        6299.07432307          2086.0          ? 
   38        0.0        6299.17359542          1142.0          ? 
   39        0.0        6299.44613024          3756.0          ? 
   40        0.0        6299.52687056          2152.0          ? 
   42      318.9        6301.41241429         48597.0        ThI 
   43      323.4        6301.68242179          1765.0          ? 
   44        0.0        6301.90654861          2024.0          ? 
   45        0.0        6302.01869950           478.0          ? 
   46        0.0        6302.39811362          2364.0          ? 
   47        0.0        6302.47116301          7425.0        ThI 
   48      350.9        6302.91480389          1809.0          ? 
   49        0.0        6303.07646348          1310.0          ? 
   51      362.4        6303.42803408          2324.0          ? 
   53      388.3        6304.49161051          1450.0          ? 
   54      398.6        6305.03944641          1632.0          ? 
   55        0.0        6305.27637279         22184.0        ThI 
   56        0.0        6305.36018229          6417.0          ? 
   57      435.6        6306.72570063          1386.0          ? 
   58      452.8        6307.43268680          4785.0          ? 
   60      459.4        6307.86388202          7896.0          ? 
   61      481.1        6308.71124449          7040.0          ? 
   63      510.6        6310.01343783          1269.0          ? 
   65        0.0        6310.94396997          3114.0          ? 
   66        0.0        6311.04005816          2513.0          ? 
   67        0.0        6311.11896698          3965.0          ? 
   68        0.0        6311.25911334          3247.0          ? 
   69        0.0        6311.36443906          2126.0          ? 
   70        0.0        6311.46535696          4643.0          ? 
   71      545.5        6311.63508239          2785.0          ? 
   72        0.0        6311.81492110          3795.0          ? 
   73        0.0        6311.94485621          8778.0          ? 
   74        0.0        6312.10615090          1652.0          ? 
   76      561.9        6312.46815270          1517.0          ? 
   81      686.0        6317.81323142          2422.0          ? 
   82        0.0        6318.22225858          1693.0          ? 
   83        0.0        6318.30158428          4393.0          ? 
   84        0.0        6318.43803464          1692.0          ? 
   86      710.6        6318.89173181          1536.0          ? 
   87        0.0        6319.16023871         24686.0        ThI 
   88        0.0        6319.26380790         11194.0          ? 
   89        0.0        6319.36894467          1390.0          ? 
   90        0.0        6319.51202325           896.0          ? 
   91        0.0        6319.60851134          1686.0          ? 
   92      733.8        6320.12372199          1411.0          ? 
   93        0.0        6321.16859641          6734.0          ? 
   95        0.0        6321.49376709           766.0          ? 
   96        0.0        6321.63120818          1347.0          ? 
   97        0.0        6321.70722977          3351.0          ? 
   99        0.0        6322.08254598          2222.0          ? 
  100        0.0        6322.20704555          2535.0          ? 
  102      793.0        6322.53841557          1051.0          ? 
  103        0.0        6322.72504445          1648.0          ? 
  104        0.0        6322.86625653          6183.0          ? 
  106        0.0        6323.71602534         15212.0          ? 
  107        0.0        6323.84132069         16908.0       ThII 
  108        0.0        6323.97773306          1078.0          ? 
  109        0.0        6324.07895788           781.0          ? 
  110        0.0        6324.16540966          7634.0          ? 
  111        0.0        6324.95670517           973.0          ? 
  113      863.5        6325.84579842          3170.0          ? 
  115      956.2        6329.90593610          1640.0          ? 
  116        0.0        6330.28699977           748.0          ? 
  117        0.0        6330.37542403          6882.0          ? 
  118        0.0        6330.49638754           873.0          ? 
  120     1013.1        6332.18710051          1544.0          ? 
  121     1033.4        6333.14778152         51644.0       ArII 
  122        0.0        6333.21435264          3291.0          ? 
  123        0.0        6334.92316574          1457.0          ? 
  124        0.0        6335.01142604         10937.0          ? 
  126     1091.0        6335.70197959         28173.0        ThI 
  127        0.0        6336.07980813         11559.0          ? 
  128        0.0        6336.16352464          1864.0          ? 
  129        0.0        6336.24225350          1108.0          ? 
  130     1109.2        6336.41572092          7524.0       NoID 
  132        0.0        6337.74456805          7216.0          ? 
  133        0.0        6338.90627707          2490.0          ? 
  134        0.0        6339.05365749          1549.0          ? 
  136        0.0        6339.56898709          6845.0          ? 
  139        0.0        6340.29932496          1507.0          ? 
  140        0.0        6340.38869096          4666.0          ? 
  141        0.0        6340.49985810          1574.0          ? 
  142        0.0        6341.38394167          1313.0          ? 
  143        0.0        6341.79328974           687.0          ? 
  144        0.0        6341.87214756          2310.0          ? 
  145        0.0        6345.25016935           935.0          ? 
  146        0.0        6345.38402340          1393.0          ? 
  147     1326.5        6345.80686584          1291.0          ? 
  149     1347.8        6346.67120571          1620.0          ? 
  151        0.0        6348.12920714          9202.0          ? 
  152        0.0        6348.23263636         51938.0          ? 
  153        0.0        6348.56136208          6447.0          ? 
  154        0.0        6348.62788921          9814.0          ? 
  157        0.0        6350.34437021           793.0          ? 
  158        0.0        6350.45497751          1513.0          ? 
  160     1487.0        6352.52278915          1171.0          ? 
  162     1528.0        6354.25771919           701.0          ? 
  163     1549.4        6355.27370532          3514.0          ? 
  166     1572.7        6356.21956828          8345.0          ? 
  169        0.0        6358.62067639         30829.0       ThII 
  170        0.0        6358.69402169          4429.0          ? 
  172        0.0        6359.36831258          1100.0          ? 
  173        0.0        6359.48285482          4110.0          ? 
  174     1654.5        6359.67425241         68608.0       NoID 
  175        0.0        6361.29338154           550.0          ? 
  176        0.0        6361.41467396          2661.0          ? 
  177     1701.9        6361.57384621           994.0          ? 
  178     1708.3        6362.03650395          1562.0          ? 
  179     1716.1        6362.25100833         39032.0        ThI 
  180     1740.5        6363.27163321         24123.0          ? 
  181     1761.4        6364.25394937          2320.0          ? 
  182     1768.3        6364.42749475          9863.0        ThI 
  183     1773.8        6364.64870434          9178.0        ThI 
  184        0.0        6364.80183721          5925.0          ? 
  185     1779.4        6364.89381051        234492.0        ArI 
  186        0.0        6366.17997505           738.0          ? 
  187        0.0        6366.29267278          1549.0          ? 
  188        0.0        6366.40605633           348.0          ? 
  189     1819.8        6366.68770568           623.0          ? 
  190     1833.7        6367.23971341          6088.0          ? 
  191        0.0        6367.58451680           954.0          ? 
  192        0.0        6367.66265281          1185.0          ? 
  193     1892.1        6369.57542205        619407.0        ArI 
  195     1949.5        6371.94384689        730773.0        ThI 
  196     1952.5        6372.12445738         68640.0        ThI 
  197     1961.7        6372.46052811         16606.0        ThI 
