 # ID       Xpix           Wavelength          Intens       Line 
    0        0.0        6150.68300000             1.0        ThI 
    1        0.0        6151.99290000             1.0        ThI 
    2        0.0        6154.06820000             1.0        ThI 
    3        0.0        6154.51620000             1.0        ThI 
    4        0.0        6155.23850000             1.0        ArI 
    5        0.0        6155.58100000             1.0        ThI 
    6        0.0        6157.08780000             1.0        ThI 
    7        0.0        6161.35340000             1.0        ThI 
    8     1846.9        6162.17000000             1.0         Th 
    9     1866.6        6162.96990000             1.0        ThI 
   10     1904.2        6164.47960000             1.0        ThI 
   11     1920.6        6165.12320000             1.0        ArI 
   15        0.0        6087.26220000             1.0       ThII 
   16        0.0        6088.03050000             1.0        ThI 
   17      149.1        6090.44820000             1.0        ThI 
   18        0.0        6090.78480000             1.0        ArI 
   19      301.1        6097.19450000             1.0       ThII 
   20      322.2        6098.12050000             1.0         Th 
   21      337.7        6098.80310000             1.0        ArI 
   22      344.1        6099.08310000             1.0       ThII 
   40     1051.9        6129.54580000             1.0        ThI 
   46        0.0        6150.68300000             1.0        ThI 
   47        0.0        6151.99290000             1.0        ThI 
   48        0.0        6154.06820000             1.0        ThI 
   49        0.0        6154.51620000             1.0        ThI 
   50        0.0        6155.23850000             1.0        ArI 
   51        0.0        6155.58100000             1.0        ThI 
   52        0.0        6157.08780000             1.0        ThI 
   53        0.0        6161.35340000             1.0        ThI 
   55        0.0        6087.26220000             1.0       ThII 
   56        0.0        6088.03050000             1.0        ThI 
   57        0.0        6090.78480000             1.0        ArI 
