   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    5    no  4068471.5       49.1        0.0       21.1      0.714     1862.0     1330.0 
    6    no       78.2       86.8        4.4       24.1      1.400     1330.0     1862.0 
    7    no  4069109.6       34.1        0.0       29.3     19.380     2753.0    53352.0 
    8    no       78.0      970.3     2715.7       30.5      0.052    53352.0     2753.0 
    9    no  4069301.9      406.8        0.0       31.8     45.874     1163.0    53352.0 
   10    no       11.8      154.9      384.9       37.8      1.829     2463.0     4506.0 
   11    no  4070040.6      183.9        0.0       41.5      0.310     4506.0     1396.0 
   12    no  4070116.1      189.9        0.0       42.5      3.228     1396.0     4506.0 
   13    no        3.2       71.5     1589.8       44.1      0.040    58466.0     2342.0 
   14    no  4070318.2       84.6        0.0       45.2     24.964     2342.0    58466.0 
   15    no       76.9      232.5       89.7       58.6      2.670     1209.0     3228.0 
   16    no       61.5       42.6      105.4       61.6      0.375     3228.0     1209.0 
   17    no       76.4        9.1        0.0       72.8      0.008   245550.0     1899.0 
   18    no  4072908.6        8.5        0.0       79.9      0.993     1899.0     1886.0 
   19    no  4073005.6        5.6        0.0       81.3      1.007     1886.0     1899.0 
   20    no       43.2        1.0       73.5       86.4      2.846      525.0     1494.0 
   21    no  4073525.6        2.7        0.0       88.4      0.351     1494.0      525.0 
   22    no       75.8        4.5       48.3       90.9     12.773     2038.0    26031.0 
   23    no       64.2        1.6      525.2       92.9      0.070    26031.0     1823.0 
   24    no  4073962.1        6.3        0.0       94.4      0.469     1823.0      855.0 
   25    no  4074049.0        4.4        0.0       95.6      2.132      855.0     1823.0 
   26    no  4074438.2       37.2        0.0      101.0      0.182     1074.0      196.0 
   27    no  4074493.3       40.9        0.0      101.8      5.480      196.0     1074.0 
   28    no       75.3     1035.7      402.9      103.8      0.065     3010.0      196.0 
   29    no  4075396.3        2.5        0.0      114.4     82.814     1431.0   118507.0 
   30    no  4075502.9        1.7        0.0      115.9      0.012   118507.0     1430.0 
   31    no  4075604.0       35.2        0.0      117.3     82.872     1430.0   118507.0 
   32    no  4075711.6      100.9        0.0      118.8      0.501     2854.0     1430.0 
   33    no       74.7     1081.6      712.0      121.6      0.283    10086.0     2854.0 
   34    no       74.4        8.0       21.5      131.8      0.631   114277.0    72142.0 
   35    no       74.2        2.1        0.0      136.3      1.584    72142.0   114277.0 
   36    no  4077566.1        3.0        0.0      145.3      3.843      619.0     2379.0 
   37    no  4077622.4        1.7        0.0      146.1      0.260     2379.0      619.0 
   38    no  4077870.0        1.2        0.0      149.7      1.208     1387.0     1676.0 
   39    no  4077979.0        1.3        0.0      151.3      0.828     1676.0     1387.0 
   40    no  4078225.2        2.4        0.0      154.8      7.370      754.0     5557.0 
   41    no  4078301.3        1.5        0.0      155.9      0.136     5557.0      754.0 
   42    no       73.4        6.2        0.0      161.2      0.543     1125.0      611.0 
   43    no  4078787.0       24.7        0.0      163.0     17.758      611.0    10850.0 
   45    no       73.2       58.6       59.5      168.1      6.556     1655.0    10850.0 
   46    no  4080226.7        8.5        0.0      184.2      1.032     1364.0     1408.0 
   47    no  4080293.2        2.5        0.0      185.2     23.043     1408.0    32444.0 
   48    no       72.7        1.3        1.6      186.2      0.043    32444.0     1408.0 
   49    no       72.3        0.2       22.5      199.4     23.802     2320.0    55220.0 
   50    no       72.2        4.1        0.0      201.3      0.042    55220.0     2320.0 
   51    no  4081591.7        4.6        0.0      204.6      0.163     6878.0     1122.0 
   52    no  4081653.7        2.4        0.0      205.6      6.130     1122.0     6878.0 
   53    no  4082082.2        2.0        0.0      212.1      0.334    11589.0     3875.0 
   54    no       71.9        1.7       13.8      214.8     28.828     3875.0   111710.0 
   55    no       35.4       12.5       20.7      216.7      0.035   111710.0     3875.0 
   56    no       71.6      460.3      277.9      224.0     50.004     2234.0   111710.0 
   57    no  4083388.4        1.2        0.0      232.0    152.331      676.0   102976.0 
   58    no       71.4        1.2       10.3      233.2      0.007   102976.0      676.0 
   59    no       71.2        0.4        6.3      238.7      1.640     1598.0     2620.0 
   60    no  4084089.3        0.6        0.0      242.8      0.226     2620.0      591.0 
   61    no  4084176.6        3.1        0.0      244.1      4.433      591.0     2620.0 
   62    no       49.5        0.1       17.6      249.1     14.363      490.0     7038.0 
   63    no       46.8        0.0      435.7      251.0      0.098     7038.0      688.0 
   64    no  4084701.2       33.1        0.0      252.2     10.230      688.0     7038.0 
   65    no  4084954.7        4.6        0.0      256.2     19.248     2138.0    41152.0 
   66    no       33.1        0.6      264.1      257.6      0.052    41152.0     2138.0 
   67    no       70.7     1414.7      108.8      260.9      3.024    19301.0    58357.0 
   68    no       50.0        0.5        9.6      263.7      0.015    58357.0      876.0 
   69    no       70.5        0.3        3.1      265.6     66.618      876.0    58357.0 
   70    no       70.3        0.8       38.3      273.3      0.646     1923.0     1242.0 
   71    no       17.3        0.1     1931.9      275.6      1.548     1242.0     1923.0 
   72    no       70.2      431.3      364.5      279.1    115.287     1663.0   191722.0 
   73    no       70.2        3.8        8.6      280.8      0.009   191722.0     1663.0 
   74    no  4086691.1        1.7        0.0      283.4     32.773     5850.0   191722.0 
   75    no       69.9       30.9      106.9      291.0      8.106     4326.0    35066.0 
   76    no       69.5        1.1        0.0      292.9      0.123    35066.0     4326.0 
   77    no       14.8        1.5       19.5      302.7     60.773      577.0    35066.0 
   78    no  4088628.4        6.8        0.0      314.4      6.493     6742.0    43776.0 
   79    no  4088726.2        4.8        0.0      315.9      0.154    43776.0     6742.0 
   80    no  4089137.6        0.8        0.0      322.6      0.013    72039.0      968.0 
   81    no  4089267.5        0.5        0.0      324.7     74.420      968.0    72039.0 
   82    no       21.6       10.4       19.7      337.2      0.775      690.0      535.0 
   83    no       68.8        0.0        5.8      339.9      1.290      535.0      690.0 
   84    no  4090708.7        0.7        0.0      348.1      5.385      400.0     2154.0 
   85    no       16.1        5.5        0.5      353.3      0.186     2154.0      400.0 
   86    no       68.4        1.9       31.0      358.6      0.084     7878.0      660.0 
   87    no  4091408.0        2.3        0.0      359.6     11.936      660.0     7878.0 
   88    no  4091529.2        2.4        0.0      361.5      2.940     1125.0     3307.0 
   89    no  4091589.4        2.7        0.0      362.6      0.340     3307.0     1125.0 
   90    no       68.3        0.6        4.6      364.9      0.099     5421.0      535.0 
   91    no  4091846.6        2.1        0.0      366.8      1.594      535.0      853.0 
   92    no  4091905.8        1.8        0.0      367.7      0.627      853.0      535.0 
   93    no  4091986.9        1.4        0.0      369.1      0.200     4257.0      853.0 
   94    no       60.8       11.5        0.1      392.4      6.693     5371.0    35948.0 
   95    no       67.6        6.9      139.0      397.0      0.149    35948.0     5371.0 
   96    no  4094559.0       19.0        0.0      411.8      0.450     1710.0      769.0 
   97    no  4094651.9      137.3        0.0      413.4      2.224      769.0     1710.0 
   98    no       67.3        2.8     1806.9      415.0      0.004   211839.0      769.0 
   99    no       28.3        1.0        5.9      417.6     28.309     7483.0   211839.0 
  100    no       52.5        0.1      184.8      437.3      0.028    39883.0     1103.0 
  101    no       66.9        0.0        5.2      439.3     36.159     1103.0    39883.0 
  102    no       60.8        0.0       17.0      441.6      0.660     1672.0     1103.0 
  103    no  4096934.0        1.2        0.0      451.8     41.538     1239.0    51465.0 
  104    no  4097136.3       38.5        0.0      455.3      0.402    51465.0    20690.0 
  105    no  4097202.9       18.7        0.0      456.4      2.487    20690.0    51465.0 
  106    no       33.1        0.3     1158.8      465.6      0.084   244936.0    20690.0 
  107    no       20.8        0.0      123.3      485.8      0.099    13038.0     1291.0 
  108    no       30.3        4.4        1.8      490.7      8.491     1291.0    10962.0 
  109    no  4099455.8        9.9        0.0      494.8      1.139    10962.0    12489.0 
  110    no  4099552.2        6.2        0.0      496.4      0.878    12489.0    10962.0 
  112    no       14.7        0.0       16.7      504.0      0.747     3808.0     2843.0 
  113    no       13.1        0.4     2694.1      509.9      0.006   605291.0     3808.0 
  114    no       65.6        0.2       55.9      519.8      0.122    10466.0     1272.0 
  115    no  4101238.3        1.0        0.0      525.3      0.638     1272.0      811.0 
  116    no  4101323.5        1.6        0.0      526.8      1.568      811.0     1272.0 
  120    no       62.2        3.2       10.6      552.5      0.128     5793.0      743.0 
  121    no  4103014.6        1.1        0.0      555.8      1.198      743.0      890.0 
  122    no  4103109.8        1.2        0.0      557.5      0.835      890.0      743.0 
  123    no  4103205.2        2.1        0.0      559.1      4.854      363.0     1762.0 
  124    no  4103261.9        2.6        0.0      560.1      0.206     1762.0      363.0 
  125    no  4103405.8        1.2        0.0      562.6      3.525      863.0     3042.0 
  126    no  4103460.0        1.9        0.0      563.5      0.284     3042.0      863.0 
  127    no  4103832.5      469.1        0.0      569.9      2.212   253450.0   560599.0 
  128    no  4103912.1      732.2        0.0      571.3      0.452   560599.0   253450.0 
  131    no  4104915.6        3.0        0.0      588.6     21.997      654.0    14386.0 
  132    no  4105478.0        4.1        0.0      598.2      0.708     2771.0     1961.0 
  133    no  4105572.5        1.9        0.0      599.9      1.244     1961.0     2440.0 
  134    no  4105652.0        1.3        0.0      601.2      0.804     2440.0     1961.0 
  135    no       64.5        2.9       38.8      607.8      0.702     2828.0     1984.0 
  136    no        2.1        0.4        0.1      613.3      1.425     1984.0     2828.0 
  138    no  4107286.3        4.7        0.0      629.3      0.214    11986.0     2566.0 
  139    no  4107371.7        3.3        0.0      630.8      4.671     2566.0    11986.0 
  140    no  4107790.3        7.3        0.0      638.0     12.894     2102.0    27104.0 
  141    no       10.1        0.0      102.5      639.2      0.078    27104.0     2102.0 
  142    no       63.8       78.4        0.1      644.7    105.550     1045.0   110300.0 
  144    no       39.7        0.2       32.3      650.5    136.005      811.0   110300.0 
  146    no       64.0        0.1        0.0      666.8     52.804     1201.0    63418.0 
  147    no       28.2        0.2        7.0      671.0      0.707     1698.0     1201.0 
  148    no  4110076.3        1.1        0.0      677.0      1.218      702.0      855.0 
  149    no  4110170.6        1.3        0.0      678.6      0.753      855.0      644.0 
  150    no  4110220.5        1.3        0.0      679.5      1.328      644.0      855.0 
  151    no  4110513.4        4.4        0.0      684.5      0.174     3333.0      581.0 
  152    no  4110563.0        7.4        0.0      685.3      5.737      581.0     3333.0 
  153    no       14.0        1.3      128.9      686.5      0.050    11722.0      581.0 
  155    no  4110872.1       17.0        0.0      690.6     11.673     4677.0    54594.0 
  156    no       38.1        1.1        0.0      692.2     12.085      387.0     4677.0 
  157    no  4111087.3        2.2        0.0      694.2      2.334      628.0     1466.0 
  158    no  4111134.7        2.0        0.0      695.0      0.428     1466.0      628.0 
  160    no       17.7        0.0       32.8      711.4      0.496     2813.0     1394.0 
  161    no       63.6        0.4       16.1      713.1      2.018     1394.0     2813.0 
  162    no  4112317.7        2.6        0.0      715.0      1.403     1683.0     2361.0 
  163    no  4112388.0        2.3        0.0      716.2      0.713     2361.0     1683.0 
  164    no       63.3        0.5        0.6      728.0      0.497     1329.0      661.0 
  165    no  4113508.8        4.2        0.0      735.0      3.838      661.0     2537.0 
  166    no  4113558.0        4.3        0.0      735.8      0.261     2537.0      661.0 
  167    no       63.5        2.3        0.0      739.1      4.884      516.0     2520.0 
  168    no       19.1        0.6       14.0      741.1      0.205     2520.0      516.0 
  169    no       31.8        1.7        0.4      744.2      3.134      804.0     2520.0 
  171    no       63.4        0.9       42.1      770.6    174.074      811.0   141174.0 
  172    no       15.1        0.0      450.4      772.3      0.006   141174.0      811.0 
  173    no       30.4        0.3       50.4      782.4     18.069     6808.0   123014.0 
  174    no       13.8        0.2      778.7      788.0      0.055   123014.0     6808.0 
  175    no  4118224.5        0.9        0.0      812.5      2.777      743.0     2063.0 
  176    no  4118326.8        1.9        0.0      814.1      0.360     2063.0      743.0 
  178    no       63.3        2.0       10.0      821.3      8.996     1302.0    11713.0 
  179    no  4119396.4        3.0        0.0      831.3      1.878      898.0     1686.0 
  180    no  4119475.3        3.1        0.0      832.5      0.533     1686.0      898.0 
  181    no  4120362.2        2.6        0.0      846.5      1.224     2269.0     2778.0 
  182    no  4120409.6        2.8        0.0      847.3      0.817     2778.0     2269.0 
  183    no       60.6        0.5       24.6      869.8      0.424     1316.0      558.0 
  184    no       63.3       26.2       35.4      880.0      2.957      558.0     1650.0 
  185    no       37.7        0.2       11.0      886.9      0.338     1650.0      558.0 
  186    no  4123530.2        9.8        0.0      895.4      2.419     7234.0    17496.0 
  187    no  4123601.3       11.5        0.0      896.5      0.413    17496.0     7234.0 
  188    no       52.1        1.3       12.7      898.4      1.414    12372.0    17496.0 
  189    no  4124040.7        6.6        0.0      903.1      0.057    15210.0      867.0 
  190    no  4124108.7        5.5        0.0      904.1     17.543      867.0    15210.0 
  191    no       63.4        6.0      158.2      906.0      1.480      586.0      867.0 
  192    no  4124513.7        4.4        0.0      910.2      0.396     1444.0      572.0 
  193    no  4124583.3        4.5        0.0      911.2      2.524      572.0     1444.0 
  194    no  4124666.3        5.0        0.0      912.5      0.330     1735.0      572.0 
  195    no  4124778.6        2.7        0.0      914.1      0.324     2839.0      919.0 
  196    no       27.7        8.1       60.3      915.8      3.089      919.0     2839.0 
