 # ID       Xpix           Wavelength          Intens       Line 
   42      366.8        4108.18448819          1045.0        ThI 
  118     1123.7        4131.00203765        182454.0        ThI 
  120     1138.8        4131.43011446          8622.0       ThII 
  123     1180.6        4132.62060544         15353.0        ThI 
  124     1185.1        4132.75267983         37795.0       ThII 
  125     1229.8        4133.95745906         24432.0        ThI 
  126     1231.5        4134.06756020        232856.0        ThI 
  128     1240.5        4134.32383803         15436.0        ThI 
  130     1281.3        4135.47974805         27634.0        ThI 
  131     1291.5        4135.77707312           515.0          ? 
  133     1309.7        4136.28526892         25138.0        ThI 
  136     1372.0        4138.04051583         26433.0        ThI 
  143     1423.2        4139.46597118          3669.0       NoID 
  145     1450.2        4140.23494360         25165.0       ThII 
  146     1455.7        4140.38485130          8169.0       ThII 
  176     1736.2        4148.18162828         19352.0       ThII 
