 # ID       Xpix           Wavelength          Intens       Line 
   30        0.0        4566.65022901         17778.0       ThII 
   34      230.1        4567.23988319        187134.0        ThI 
   39      257.5        4568.14230871         50744.0        ThI 
   40      269.2        4568.52318806         14102.0        ThI 
   48      343.1        4570.97209788        300658.0        ThI 
   49      350.6        4571.21879068         47280.0        ThI 
   53      401.2        4572.89213245          7573.0          ? 
   55      426.1        4573.70305413         21486.0       ThII 
   57      435.8        4574.02694853         14883.0        ThI 
   58      444.4        4574.30522798          8134.0        ThI 
   59      478.5        4575.42591279          3844.0       ThII 
   69      544.5        4577.58166903          8849.0        ThI 
   75      613.6        4579.82721551        101786.0        ThI 
   76      655.3        4581.17355965         45526.0       NoID 
   86      731.9        4583.65433092          3324.0       ThII 
   87      738.6        4583.87441274          3426.0       NoID 
   93      763.0        4584.65257205         12225.0       NoID 
  100      813.4        4586.26982055          3177.0       ThII 
  101      859.9        4587.75578974          2884.0       ThII 
  102      864.1        4587.89220468          5582.0       ArII 
  104      880.8        4588.42635548        343036.0        ThI 
  105      904.9        4589.12153671          9875.0       ThII 
  110     1014.2        4592.66636660        257267.0        ThI 
  113     1023.4        4592.95818645         11120.0        ThI 
  114        0.0        4593.28010835          2449.0       ThII 
  118     1044.9        4593.64389617         42218.0        ThI 
  121     1122.9        4596.09640279        419121.0        ArI 
  123     1129.6        4596.30788288         49222.0        ThI 
  130     1197.5        4598.43669505          4953.0        ThI 
  131     1207.9        4598.76288581        482020.0       ArII 
  132     1213.1        4598.93875131         15171.0        ThI 
  139     1238.0        4599.70468480         25850.0        ThI 
  142     1275.3        4600.87291793          7549.0        ThI 
  145        0.0        4601.94122146          2120.0          ? 
  148     1340.2        4602.88633657         12576.0       ThII 
  149     1348.5        4603.14370352         97576.0        ThI 
  150     1355.6        4603.36830713          4401.0        ThI 
  153     1397.2        4604.65255356          1744.0       ThII 
  155     1434.9        4605.82358692          2904.0        ThI 
  156     1483.8        4607.37706314         18024.0        ThI 
  157     1494.5        4607.66283958          5948.0       NoID 
  159     1503.5        4607.93421282         89836.0        ThI 
  161     1525.8        4608.61937764         77753.0        ThI 
  162     1573.5        4610.07669527          7179.0        ThI 
  167     1611.3        4611.24438949         24059.0       ArII 
  169     1631.4        4611.85897597         22391.0       ThII 
  171     1653.9        4612.54386485         25106.0        ThI 
  172     1688.7        4613.60394651        106359.0        ThI 
  179     1735.4        4615.02425591         60458.0        ThI 
  180     1745.6        4615.33404798        102837.0        ThI 
  184     1763.9        4615.88383258          6590.0       NoID 
  185     1782.7        4616.45243321          9377.0        ThI 
  194     1907.9        4620.24246886         27206.0        ThI 
  195     1914.9        4620.44813146         18759.0        ThI 
  196        0.0        4620.67404671          4352.0        ThI 
