@id_orden,YposInit,YposFitted
1,47,47.07
2,62,61.46
3,77,76.0
4,91,90.99
5,106,106.0
6,121,120.67
7,136,135.51
8,151,150.48
9,166,165.66
10,181,180.91
11,197,196.32
12,212,211.71
13,228,227.2
14,243,242.85
15,259,258.69
16,275,274.64
17,291,290.73
18,307,306.93
19,324,323.29
20,340,339.83
21,357,356.55
22,374,373.42
23,391,390.48
24,408,407.7
25,426,425.1
26,443,442.7
27,461,460.48
28,479,478.47
29,497,496.64
30,516,515.02
31,534,533.6
32,553,552.4
33,572,571.39
34,591,590.61
35,611,610.06
36,630,629.71
37,650,649.61
38,670,669.73
39,691,690.09
40,711,710.69
41,732,731.52
42,753,752.6
43,774,773.92
44,796,795.49
45,818,817.32
46,840,839.42
47,862,861.76
48,885,884.38
49,908,907.27
50,931,930.44
51,954,953.86
52,978,977.58
53,1002,1001.59
54,1026,1025.87
55,1051,1050.44
56,1076,1075.33
57,1101,1100.49
58,1126,1125.98
59,1152,1151.78
60,1178,1177.87
61,1205,1204.26
62,1231,1231.02
63,1259,1258.09
64,1286,1285.47
65,1314,1313.19
66,1342,1341.27
67,1370,1369.66
68,1399,1398.43
69,1428,1427.55
70,1458,1457.02
71,1487,1486.84
72,1518,1517.07
73,1548,1547.63
74,1579,1578.64
75,1610,1609.99
76,1642,1641.75
77,1674,1673.92
78,1707,1706.45
79,1740,1739.45
80,1773,1772.78
81,1807,1806.7
82,1841,1840.81
83,1876,1875.54
84,1911,1910.69
# 85,1947,1946.2
# 86,1983,1982.5
# 87,2019,2018.74
