wmask fmask
6833.236347 0.076
6837.010775 0.152
6842.042034 0.217
6842.690113 0.344
6843.659848 0.484
6844.686 0.018
6845.942553 0.015
6847.594142 0.038
6848.563996 0.106
6850.440946 0.056
6851.643342 0.035
6852.720688 0.024
6854.328489 0.028
6862.499159 0.257
6864.314205 0.053
6750.160409 0.521
6752.713423 0.26
6753.466916 0.048
6757.173337 0.078
6762.129906 0.017
6767.781726 0.548
6769.652403 0.024
6771.044698 0.096
6772.322146 0.354
6775.510915 0.007
6777.405992 0.062
6778.673498 0.004
6779.733178 0.005
6782.236363 0.038
6783.706045999999 0.098
6784.228669 0.049
6785.161871 0.015
6786.864634 0.192
6790.644439 0.018
6798.466703 0.051
6806.849432 0.332
6808.807507 0.057
6810.266416 0.41
6680.144225 0.062
6705.108881 0.323
6713.746587 0.166
6715.391256 0.196
6716.235767 0.114
6721.847578 0.243
6724.071372 0.003
6725.362332000001 0.136
6726.672805 0.336
6636.947516 0.009
6643.634120000001 0.589
6646.93667 0.077
6648.09869 0.055
6371.358351 0.178
6378.256969 0.249
6380.748638 0.392
6383.718043 0.076
6384.66265 0.188
6385.723632 0.091
6392.543882 0.158
6408.025226 0.581
6416.929588 0.298
6424.862285 0.094
6426.891006 0.011
6232.647063 0.55
6237.328571 0.35
6238.387417 0.305
6239.346882 0.058
6240.652432999999 0.411
6243.821065 0.304
6244.475118 0.291
6245.623186 0.269
6246.325185 0.644
6247.564004 0.393
6248.911355 0.037
6251.828255 0.12
6252.565406 0.708
6254.831305 0.035
6258.706086 0.432
6259.5924159999995 0.133
6261.106289 0.384
6265.140789 0.616
6270.231866 0.43
6096.668302 0.304
6106.454008000001 0.031
6106.603996 0.072
6107.311496 0.016
6108.121095 0.51
6111.07661 0.273
6111.656220000001 0.084
6112.931203 0.068
6113.101495000001 0.032
6113.324060999999 0.098
6116.201243 0.377
6119.5340400000005 0.188
6121.000524 0.041
6125.02265 0.208
6126.222259 0.192
6127.91193 0.39
6130.139453 0.185
6138.513053000001 0.127
6141.726627 0.731
6142.492609 0.231
6145.0213779999995 0.255
6147.789828999999 0.391
6149.251722999999 0.28
6150.143443999999 0.076
6151.623839 0.422
6034.037009 0.076
6035.34167 0.058
6039.730296 0.12
6052.677626000001 0.056
6053.685885000001 0.168
6054.077319 0.087
6056.007136 0.501
6062.854832999999 0.183
6065.492445 0.717
6078.49555 0.513
6081.4488949999995 0.124
6082.715528 0.306
6084.110849000001 0.174
6085.256267000001 0.355
6086.285512 0.342
6009.825935 0.014
6012.229926 0.198
6012.758889000001 0.029
6013.494122 0.534
6016.643624 0.587
6021.798720000001 0.609
5968.263871 0.024
5969.566477 0.037
5970.048061 0.014
5971.339364 0.024
5973.489658 0.223
5975.351806 0.494
5976.171428 0.014
5976.786263 0.614
5977.813785 0.015
5978.096612 0.011
5978.546412 0.242
5978.901214 0.037
5980.788195 0.01
5982.288183 0.029
5982.85544 0.031
5983.684015 0.634
5984.258166 0.02
5984.822617 0.654
5986.105621 0.021
5987.062737 0.56
5991.363134 0.286
5993.001795 0.011
5996.729118 0.182
5998.934317 0.04
6000.659915 0.029
6001.125255 0.013
6002.638376 0.024
5906.832117 0.142
5907.846092 0.069
5909.982825 0.287
5912.105915 0.024
5914.18002 0.83
5914.946792 0.01
5915.561421 0.051
5916.258904 0.556
5916.768661 0.027
5917.380643 0.017
5918.537841 0.118
5922.119432 0.197
5923.93609 0.048
5924.27025 0.041
5924.996264 0.022
5925.83369 0.01
5927.785029 0.399
5928.285272 0.022
5928.860344 0.039
5929.678704 0.377
5930.181849 0.668
5932.777521 0.019
5933.808055 0.057
