     # Wavelength(A)     height(norm)       FWHM(km/s)          Simetry            Slope            rms_%        Intercept          ID
         4000.459154            0.987            5.833           0.9336        1.999e-02            21.65         -78.7678           0
         4000.810889            0.110            4.236           1.0053       -9.550e-05             6.85           1.3957           1
         4001.669195            1.172            7.115           1.0634        4.027e-05            24.76           1.1687           2
         4002.662939            0.456            3.996           1.0016        1.419e-04             3.43           0.4813           3
         4002.925886            0.712            5.992           1.0038        4.264e-06             6.40           1.0364           4
         4003.267240            0.094            6.028           0.9950        2.332e-05            10.58           0.9235           5
         4003.767758            1.288            5.943           1.0159        6.916e-05            29.52           1.2899           6
         4004.168520            0.091            5.234           1.0062       -3.512e-05             7.88           1.1718           7
         4004.377347            0.039            3.218           1.0011       -9.450e-07            10.43           1.0063           8
         4004.605226            0.074            5.382           1.0253        4.765e-06             2.91           1.0198           9
         4005.700177            0.895            7.281           0.9680        1.415e-04            12.00           0.5831          10
         4005.955809            0.147            4.316           0.9936        3.082e-05             4.76           0.8959          11
         4007.273976            1.327            6.472           0.9889        5.990e-05            26.53           1.2190          12
         4007.590149            0.055            3.684           1.0019       -4.219e-06             9.37           1.0227          13
         4008.903211            1.448            9.176           0.9904        8.059e-05            33.44           1.3495          14
         4010.174678            0.458            4.542           1.0035       -7.319e-04             7.84           3.9640          15
         4011.410813            0.800            4.929           1.0267       -2.679e-04             3.57           2.1384          16
         4011.714644            0.781            4.803           1.0123       -1.243e-05             1.99           1.1748          17
         4011.882881            0.049            3.358           0.9960        5.506e-05             8.06           0.7891          18
         4012.009272            0.092            3.565           0.9969        6.727e-05            10.34           0.7456          19
         4013.231902            0.096            4.521           1.0001        1.873e-06            12.20           1.0074          20
         4014.268591            0.665            4.642           1.0138       -8.618e-05             8.17           1.3725          21
         4014.524242            1.167            8.721           1.0507        2.621e-05            32.36           1.1134          22
         4014.930026            0.259            6.807           1.0054        7.021e-06             6.19           1.0242          23
         4015.150160            0.151            4.099           1.0064        1.933e-06            10.12           1.0035          24
         4015.605672            1.240            6.232           0.9803        7.063e-05            36.41           1.2769          25
         4016.421914            1.142            5.449           1.0152        2.657e-05            24.94           1.3048          26
         4016.799720            0.235            4.345           1.0045       -1.526e-02             1.84          62.3076          27
         4017.127505            1.085           10.271           1.0295       -2.613e-05            34.60           1.2800          28
         4017.771648            0.324            4.589           1.0015        5.050e-05             5.52           0.8266          29
         4019.051343            0.605            5.050           1.0204       -4.973e-04             2.43           3.0654          30
         4019.294149            0.210            4.462           0.9961        2.345e-03            10.72          -8.4144          31
         4020.898173            0.873            6.641           0.9708        1.103e-05             7.48           1.0230          32
         4021.619292            0.772            5.332           1.0361       -2.399e-04             9.62           2.0943          33
         4022.232379            0.623            6.877           1.0026       -2.268e-04             6.04           2.0865          34
         4022.442088            0.308            3.430           1.0029        1.268e-06             7.93           1.0105          35
         4023.005035            0.182            4.010           0.9927        7.203e-05             9.44           0.7146          36
         4023.382142            0.781            5.889           1.0093        1.193e-03             9.27          -3.7668          37
         4023.686326            0.662            5.565           1.0206       -3.812e-05            12.23           1.1654          38
         4025.425976            0.507            5.287           0.9946        5.559e-03             3.08         -21.3407          39
         4025.819747            0.720            5.972           1.0189       -4.644e-05             6.80           1.2282          40
         4026.161561            0.442            5.950           0.9727        2.774e-04             4.30          -0.0430          41
         4026.769765            0.063            4.046           1.0014       -1.904e-05            10.60           1.0874          42
         4027.060750            0.668            8.139           0.9940        1.047e-05            10.73           1.1588          43
         4027.667224            0.574            5.503           1.0005        2.514e-05             7.44           0.9346          44
         4027.940174            0.286            5.947           1.0004       -2.163e-05             9.76           1.1124          45
         4028.341787            0.890            7.275           1.0062        1.196e-05             5.63           1.0527          46
         4028.761106            0.539            4.809           1.0054        1.594e-06            10.29           1.0042          47
         4029.066823            0.020            5.460           0.9999        6.054e-07            12.43           1.0001          48
         4029.640406            1.242            7.912           1.0038        4.454e-06            19.16           1.3658          49
         4029.862280            0.092            3.754           0.9992        2.974e-06             8.34           1.0011          50
         4032.265431            0.039            2.908           1.0015       -4.630e-05             7.25           1.1906          51
         4033.907405            0.088            3.618           1.0109       -3.869e-04             1.53           2.5818          52
         4036.239007            0.070            2.562           0.9999        1.914e-05             8.51           0.9313          53
         4036.369415            0.343            4.274           1.0143        6.533e-06             1.69           1.0441          54
         4036.763418            0.426            4.787           0.9790        2.410e-04             2.46           0.0902          55
         4038.786730            0.876            6.020           0.9466        4.111e-04            19.81          -0.3881          56
         4039.088999            0.539            5.226           0.9835        1.109e-04             2.65           0.6356          57
         4039.289935            0.077            5.129           0.9975        9.962e-06            11.68           0.9703          58
         4039.562522            0.139            5.143           1.0019       -1.023e-03            12.45           5.1465          59
         4041.914244            0.166            4.137           1.0061        4.844e-06            11.59           0.9857          60
         4042.243002            0.099            4.181           1.0010       -2.638e-07             9.94           1.0200          61
         4042.583904            0.189            3.891           1.0065        2.597e-05            12.12           0.9058          62
         4043.335613            0.211            6.609           1.0019       -1.008e-04             7.60           1.4345          63
         4046.748358            0.143            5.313           0.9857        6.331e-03            13.42         -24.5780          64
         4047.004154            0.094            4.564           0.9977        2.792e-06             4.82           0.9983          65
         4047.305527            0.581            4.783           0.9931        1.564e-04             6.54           0.4122          66
         4048.066094            0.279            5.831           1.0019        2.570e-05             8.41           0.9109          67
         4048.737123            2.186           13.434           1.0319        1.715e-04            47.58           1.6844          68
         4049.330484            0.817            4.870           1.0336        4.068e-06             5.75           1.0694          69
         4050.038074            0.038            1.893           1.0063        7.833e-06            12.82           0.9585          70
         4050.323688            0.369            4.100           1.0034        4.108e-06             9.36           1.0204          71
         4050.491336            0.140            3.187           1.0179       -6.386e-05             4.17           1.2957          72
         4050.675486            0.804            5.205           0.9950        4.799e-05             8.21           0.9652          73
         4051.726417            0.099            3.929           1.0031       -5.135e-05             8.22           1.2249          74
         4053.265051            1.020            5.827           0.9980        1.212e-04            16.83           0.8113          75
         4053.823938            0.882            5.906           1.0271       -6.178e-03             3.97          26.1265          76
         4055.208706            0.149            4.268           0.9920        3.552e-03             2.11         -13.3799          77
         4055.543099            1.053            8.488           0.9943        2.855e-05            47.49           0.9709          78
         4056.191960            0.382            4.404           1.0118        9.812e-06             4.75           1.0490          79
         4058.210322            1.103            8.088           0.9913        4.740e-04            17.95          -0.6563          80
         4059.212465            0.232            3.636           1.0138       -4.347e-03             1.82          18.7101          81
         4060.266143            0.599            4.721           1.0042       -3.025e-05             4.47           1.2066          82
         4060.483949            0.275            4.423           1.0083       -1.676e-05             8.87           1.1025          83
         4061.093727            0.743            5.726           1.0106       -9.149e-05            12.32           1.3803          84
         4061.432460            0.217            6.391           1.0044       -5.439e-06            11.22           1.0424          85
         4062.443492            1.347            7.295           1.0373        3.173e-06            29.95           1.4346          86
         4064.040704            0.458            4.288           0.9301        2.078e-02            38.92         -83.2855          87
         4064.209307            0.390            3.811           0.9695        8.370e-05            21.54           0.7414          88
         4065.082839            0.612            6.187           1.0049       -1.616e-03             7.23           7.5896          89
         4065.384020            0.916            5.563           1.0035        1.770e-05             6.12           1.0695          90
         4066.368766            0.973            5.397           1.0055        2.804e-05            17.14           1.1191          91
         4066.585428            1.305            5.760           0.9981        7.142e-05            32.93           1.2717          92
         4067.273891            1.167            6.478           1.0311        3.172e-05            20.10           1.1327          93
         4068.544905            0.469            4.375           1.0243       -3.621e-07             4.07           1.0450          94
         4069.067931            0.604            4.509           0.9875        3.595e-04             6.93          -0.3969          95
         4069.270757            0.148            3.887           0.9978        5.537e-05             7.69           0.7951          96
         4069.607696            0.502            5.415           1.0014        9.895e-06             7.44           0.9996          97
         4070.273848            0.955            5.783           0.9628        8.376e-05            18.02           0.9216          98
         4070.773980            0.978            7.516           1.0116        1.174e-05            10.35           1.0518          99
         4073.763587            0.979            6.897           0.9932        1.225e-05             7.58           1.0468         100
         4074.050672            0.095            5.460           0.9993       -7.244e-07             6.86           1.0108         101
         4074.328482            0.179            5.922           0.9970        5.889e-03             8.32         -22.9688         102
         4075.945289            0.786            4.883           1.0007        2.191e-04            20.11           0.1663         103
         4077.719051            2.743           15.643           1.0110        2.299e-03            74.32          -6.4697         104
         4078.818503            0.325            4.440           1.0020        4.292e-05            10.89           0.8442         105
         4080.575596            0.048            4.377           1.0005       -1.920e-05            12.38           1.0884         106
         4080.878588            0.756            5.286           1.0072       -1.362e-05             9.79           1.0776         107
         4082.110844            0.956            5.760           0.9890        3.267e-05            13.85           1.1122         108
         4082.942037            0.996            6.696           1.0150        5.660e-06            17.62           1.0511         109
         4084.494178            1.033            8.284           0.9892        2.377e-05            25.05           1.0857         110
         4085.008056            0.991            6.217           1.0423        1.062e-05            11.63           1.0594         111
         4085.287750            1.374           10.222           0.9684        7.011e-05            33.43           1.2356         112
         4086.709169            0.581            4.675           1.0030       -1.144e-04             8.97           1.4865         113
         4087.097104            1.085            5.799           1.0116        3.776e-05            17.29           1.1551         114
         4087.278467            0.144            3.465           0.9978        2.776e-05             6.42           0.9046         115
         4087.596328            0.101            4.341           1.0100       -1.900e-03             7.58           8.7919         116
         4087.793890            0.187            4.087           0.9927        4.000e-05             5.01           0.8613         117
         4088.559729            0.776            5.192           1.0201       -1.809e-04             2.76           1.8387         118
         4089.028320            0.137            4.667           1.0015        2.354e-07             9.38           1.0125         119
         4089.220367            0.838            5.008           1.0013        4.964e-03             4.55         -19.2196         120
         4090.073653            0.758            5.294           0.9493        3.013e-04            14.51          -0.0916         121
         4090.550299            0.589            8.944           1.0116        3.595e-05            10.32           1.1444         122
         4090.956089            0.771            5.083           1.0047       -2.208e-05             2.67           1.1705         123
         4091.556423            0.773            5.213           1.0108       -6.552e-05            11.94           1.2829         124
         4094.421569            0.455            5.899           1.0021       -4.667e-04             8.15           2.9316         125
         4094.689499            0.144            4.997           0.9995       -1.716e-06             4.79           1.0201         126
         4094.940466            0.893            7.296           1.0269        1.372e-05            11.87           1.1016         127
         4096.683284            0.297            5.757           0.9849        8.796e-06             4.47           0.9917         128
         4097.965637            0.319            4.627           1.0174       -2.368e-06             3.48           1.0664         129
         4098.179116            1.048            6.893           1.0044        3.428e-05            19.14           1.0676         130
         4098.543551            0.903            8.677           0.9903        2.415e-05            17.62           1.0982         131
         4100.343991            0.314            3.843           0.9979        4.731e-06            17.97           1.0170         132
         4100.744736            1.186            6.087           1.0247        4.487e-05            41.19           1.1861         133
         4100.922526            0.067           82.787           1.0073        1.678e-06            28.25           1.0073         134
         4101.099295            0.202            3.436           1.0258       -1.694e-02            36.39          70.5095         135
         4102.939604            0.965            8.036           0.9797        1.204e-04            25.91           0.6371         136
         4103.307366            0.212            3.856           0.9931        3.909e-06            12.45           1.0146         137
         4103.817317            0.029            4.566           0.9976        2.108e-05             4.13           0.9221         138
         4104.131815            0.911            7.304           1.0005        3.859e-06            11.73           1.0442         139
         4104.454888            0.243            5.264           0.9916        4.697e-03             6.49         -18.2570         140
         4104.752708            0.130            3.608           1.0061        1.080e-06            10.38           1.0107         141
         4104.946060            0.437            4.459           0.9994        1.344e-05            16.26           0.9988         142
         4105.161609            0.744            4.767           0.9975        1.618e-05             7.89           1.0156         143
         4105.364924            0.124            5.798           0.9910        7.030e-06             4.69           1.0026         144
         4106.940882            0.169            4.885           1.0053       -8.503e-06            11.55           1.0471         145
         4107.486005            1.331            8.328           0.9836        6.055e-05            25.93           1.2138         146
         4108.529180            0.693            6.337           0.9979       -4.199e-04             2.89           2.7748         147
         4109.798199            1.391            8.561           1.0409        6.143e-05            28.39           1.2569         148
         4110.533558            1.106            7.315           0.9993        3.456e-05            13.94           1.1306         149
         4111.358291            0.460            5.656           1.0197       -6.218e-04             9.44           3.5846         150
         4111.780957            1.070            7.457           0.9349        4.124e-05            18.84           1.0598         151
         4112.320078            0.763            5.204           1.0034        1.864e-06             2.11           1.0520         152
         4112.550908            0.056            2.273           1.0021        3.222e-04            10.43          -0.3140         153
         4112.712022            0.608            4.299           1.0115       -9.743e-04             4.76           5.0731         154
         4112.947070            1.043            8.055           1.0261        2.696e-05            14.54           1.1140         155
         4113.217570            0.240            5.315           0.9872        1.574e-02             6.40         -63.7162         156
         4113.856731            0.121            5.825           1.0065       -3.356e-05             9.22           1.1962         157
         4114.447201            0.955            6.861           1.0095        8.060e-06             7.29           1.0375         158
         4114.737863            0.040            1.820           1.0002        3.267e-04            11.63          -0.3391         159
         4114.940310            0.859            5.303           1.0104        3.044e-06             2.13           1.1040         160
         4115.173340            1.223            7.825           1.0060        5.909e-05            21.03           1.2509         161
         4115.546446            0.016            3.118           0.9994        4.861e-04            15.62          -0.9965         162
         4116.500060            0.689            9.768           1.0131        1.046e-05            15.81           1.3277         163
         4116.956526            0.402            4.942           1.0086        5.419e-05             7.09           0.8180         164
         4117.853488            0.716            5.638           0.9905        5.266e-05             2.92           0.8349         165
         4118.175539            0.212            8.156           1.0175       -9.726e-04             7.21           5.0589         166
         4118.548278            1.403            8.434           1.0239        5.798e-05            34.43           1.2599         167
         4119.401989            0.718            5.775           1.0616       -3.720e-02            14.28         154.3739         168
         4120.616113            0.219            4.037           0.9966        5.793e-06             7.23           1.0011         169
         4120.821980            0.145            5.974           0.9882        2.429e-03             9.18          -8.9680         170
         4121.063170            0.044            4.551           1.0026       -4.206e-05            11.39           1.1853         171
         4121.321628            1.153            8.180           1.0135        2.036e-05            86.92           1.0873         172
         4121.805404            1.317            6.317           1.0128        5.580e-05            23.71           1.2317         173
         4123.233627            0.640            6.355           1.0318        2.453e-05            11.10           1.1440         174
         4124.126415            0.048           10.280           0.9555        3.470e-06            10.98           1.0119         175
         4124.489457            0.396            4.989           1.0162       -2.538e-06            13.69           1.0154         176
         4125.216293            0.072            4.166           0.9954        3.408e-06            13.78           0.9963         177
         4125.632333            1.439            8.862           1.0043        5.131e-05            39.84           1.7144         178
         4125.883601            0.830            5.097           1.0156        3.580e-04             3.49          -0.4248         179
         4126.185564            0.976            7.895           0.9694        1.747e-05             7.48           1.0663         180
         4126.514774            0.599            4.995           1.0110        4.280e-06             9.62           1.0043         181
         4126.861608            0.404            6.041           1.0212       -2.903e-05            13.51           1.1363         182
         4128.088093            1.838           10.865           0.9550        1.485e-04            42.55           1.6120         183
         4128.739363            0.585            5.097           1.0128       -2.852e-03             6.82          12.8106         184
         4129.180454            0.778            6.625           1.0265        7.945e-06             3.04           1.0410         185
         4129.462352            0.579            5.300           1.0131       -3.263e-04             2.46           2.3871         186
         4130.025951            0.840            8.371           0.9947        8.933e-03            25.78         -35.4757         187
         4131.116954            0.404            6.261           1.0042       -2.907e-03             3.07          13.0604         188
         4131.357273            0.199            4.113           1.0015        8.097e-06             4.88           0.9757         189
         4133.350035            0.103            4.771           0.9962       -1.814e-03             9.73           8.5145         190
         4133.607159            0.552            4.733           1.0316       -1.664e-04             4.33           1.7590         191
         4134.186699            0.138            2.678           0.9979        1.916e-04             1.52           0.2418         192
         4137.000506            1.014            7.299           1.0023        1.528e-05             9.50           1.0652         193
         4137.654721            0.479            4.915           1.0160        1.541e-05             3.49           1.0844         194
         4137.974897            0.165            3.904           1.0046        8.215e-05             2.72           0.6792         195
         4138.363227            0.231            5.243           1.0087       -2.156e-04             2.11           1.9355         196
         4139.085037            0.235            3.748           0.9887        8.607e-03             2.18         -34.5951         197
         4140.413667            0.949            6.522           1.0493       -1.766e-04            24.86           2.1629         198
         4140.757500            0.145            7.692           0.9905        4.635e-05            10.77           0.8354         199
         4141.060788            0.275            4.753           1.0077       -7.900e-04            14.60           4.2796         200
         4144.508953            0.064            4.562           0.9998        2.651e-06             1.68           1.0051         201
         4144.999649            0.164            4.034           1.0085       -1.317e-04             6.05           1.5828         202
         4145.201786            0.489            4.152           1.0050        6.282e-07             5.23           1.0199         203
         4145.549991            0.215            5.602           0.9697       -7.090e-04             3.95           4.0132         204
         4145.764373            0.537            5.769           1.0435       -9.173e-03             9.77          39.1398         205
         4146.691337            0.113            7.403           1.0011        1.404e-06             6.85           1.0342         206
         4146.987375            0.586            5.150           1.0043       -9.961e-06             8.40           1.0867         207
         4148.244701            0.074            4.190           0.9931        3.016e-05            11.84           0.8943         208
         4148.777388            0.185            7.387           1.0040        3.264e-06             7.50           1.0216         209
         4149.765678            0.585            6.642           1.0155       -5.704e-03             9.76          24.7558         210
         4150.970436            0.487            5.805           1.0101       -1.912e-04             5.15           1.9135         211
         4153.386871            0.491            5.071           1.0081       -3.172e-03             6.15          14.2172         212
         4154.499117            1.036            6.855           0.9313        2.058e-05            26.97           1.0383         213
         4154.806290            1.072            8.398           0.9331        5.082e-05            22.21           0.9850         214
         4155.914373            0.458            5.068           0.9993        9.279e-06             0.79           1.0420         215
         4157.194944            0.288            5.412           1.0074        4.023e-05             7.10           0.8660         216
         4157.452575            0.011            5.354           0.9997       -1.500e-02             9.98          63.3592         217
         4158.381759            0.331            6.417           1.0109       -1.189e-02             8.61          50.4639         218
         4158.793401            0.979            7.476           1.0131        1.408e-05             6.26           1.0607         219
         4159.181759            0.974            9.039           0.9716        1.149e-04            14.51           0.7401         220
         4160.556808            0.405            3.894           1.0202       -8.737e-05             4.37           1.4127         221
         4160.776932            0.242            4.968           1.0030        1.199e-05             9.23           0.9752         222
         4161.509917            0.951            7.784           0.9158        3.907e-04            22.59          -0.3928         223
         4161.797729            0.404            4.411           1.0041        8.492e-06             7.48           0.9880         224
         4162.111132            0.021            4.642           1.0019       -9.928e-04            12.33           5.1369         225
         4164.288656            0.493           10.065           0.9786        2.695e-05             7.55           1.0906         226
         4164.641470            0.296            3.400           1.0122        8.418e-07             5.88           1.0400         227
         4164.779442            0.306            4.911           0.9941        1.027e-05             3.07           1.0327         228
         4167.277812            1.671           15.139           1.0398        6.652e-05            57.12           1.7308         229
         4171.695435            1.067            5.984           1.0505        4.847e-05            25.74           1.2348         230
         4172.966991            0.563            4.807           1.0020        4.912e-05             1.37           0.8525         231
         4173.321246            1.109            4.861           1.0948        3.017e-05            32.38           1.2301         232
         4175.636975            1.173            7.850           0.9952        3.077e-05            16.59           1.1259         233
         4175.910000            0.412            6.290           1.0294       -1.838e-03             5.95           8.7391         234
         4176.570536            1.067            8.288           0.9909        1.148e-04            19.02           0.7342         235
         4178.857727            0.963            6.586           1.0451        1.770e-05             6.70           1.0801         236
         4180.399840            0.546            5.809           0.9933       -1.757e-03             5.76           8.4826         237
         4180.820710            0.722           10.110           1.0033        2.439e-05            13.62           1.1348         238
         4182.382350            1.277            6.461           0.9256        1.049e-04            28.14           1.0231         239
         4182.761980            0.817            5.683           1.0672        1.264e-05            14.85           1.1333         240
         4183.005529            0.509            4.402           1.0049        7.135e-06             2.81           1.0274         241
         4183.189395            0.117            0.152           1.0102       -8.616e-04             7.32           4.6327         242
         4183.997086            0.876            8.135           0.9951        1.496e-05            21.30           1.0574         243
         4184.898860            1.110            8.281           1.0464        1.848e-05            12.45           1.1453         244
         4185.590561            6.018           21.644           1.0237        2.228e-03            93.76          10.4135         245
         4186.616875            0.703            7.636           0.9612        1.629e-05            15.49           1.0588         246
         4187.043195            1.523           11.849           1.0543        7.379e-05            50.60           1.3393         247
         4188.322305            0.037            5.369           1.0015        2.185e-06             5.88           0.9968         248
         4189.563238            0.757            6.793           0.9974        1.830e-05             5.43           1.0560         249
         4190.398998            0.055            5.172           1.0023       -6.677e-04             9.76           3.8184         250
         4190.708794            0.598            8.014           0.9922        5.071e-05             9.81           1.0343         251
         4192.039036            0.331           10.774           1.0106       -9.867e-05             5.37           1.4919         252
         4194.268325            0.135            9.172           0.9932        1.252e-05             9.44           1.0036         253
         4194.489609            0.270            3.641           1.0005        1.328e-06            12.55           1.0070         254
         4196.210092            1.002            6.851           1.0376        2.790e-06            11.74           1.1143         255
         4197.095296            0.770            5.217           0.9391        3.423e-04            23.05          -0.1993         256
         4197.234017            0.208            2.607           1.0016        5.827e-05             1.97           0.7895         257
         4202.034122            2.308           16.245           0.9542        1.843e-04            69.81           1.7398         258
         4202.755401            0.792            4.785           1.0027        1.128e-04             2.15           0.6488         259
         4204.466772            0.188            3.952           1.0059        3.722e-05            16.19           0.8580         260
         4206.669394            2.965           16.593           0.9868        3.428e-04            59.17           1.9166         261
         4207.130280            0.994            6.081           1.0165        1.508e-05             9.11           1.0651         262
         4207.408824            0.588            7.594           0.9988        1.368e-05             9.41           1.0558         263
         4208.606683            1.304            6.677           0.9857        6.218e-05            23.59           1.2454         264
         4208.984888            0.660            4.584           1.0067        7.908e-05             9.78           0.7542         265
         4209.178265            0.023            1.481           0.9998        2.948e-04            21.79          -0.2371         266
         4210.959415            0.764            9.370           0.9907        1.350e-05            10.87           1.0562         267
         4212.642609            1.200            9.853           1.0148        7.791e-05            22.16           1.3500         268
         4214.849094            0.165            7.265           1.0056       -4.279e-04             9.58           2.8682         269
         4216.186502            3.273            8.291           1.0676        7.899e-05            64.81           3.0900         270
         4217.228951            1.657           12.632           0.9936       -7.674e-05            39.98           2.5829         271
         4218.043945            0.081            2.738           1.0032       -2.112e-05            17.27           1.1013         272
         4221.489672            1.122           18.558           0.9865       -5.423e-04            27.14           4.2195         273
         4222.218262            1.264           10.101           1.0042        3.604e-05            21.91           1.2195         274
         4222.598938            0.277            3.509           0.9992        2.910e-06            14.08           1.0119         275
         4222.729443            0.240            4.138           0.9983        5.948e-05            14.12           0.7957         276
         4223.084217            0.699            8.212           1.0540        5.850e-05            19.84           1.2288         277
         4224.181405            1.136           10.595           1.0658        2.440e-05            27.56           1.2878         278
         4224.505204            0.887            7.291           1.0092        1.257e-05            12.21           1.0368         279
         4224.854386            0.766            7.427           1.0022        4.110e-06            12.30           1.0207         280
         4225.454647            1.148            7.428           0.9757        3.713e-05            28.25           1.1524         281
         4225.714643            0.596            4.883           1.0159        2.239e-06             8.97           1.0323         282
         4229.040692            0.038            4.967           0.9973        1.871e-03            18.14          -6.9096         283
         4230.247779            0.081            7.020           0.9997        1.605e-06            15.35           1.0079         284
         4232.730277            0.859            4.402           1.0146       -3.283e-03             7.81          14.9804         285
         4233.174794            1.451            9.374           1.0272        7.578e-05            35.95           1.3815         286
         4233.605409            1.528           12.101           0.9882        8.094e-05            41.19           1.3190         287
         4234.544531            0.214            5.412           1.0017       -1.638e-05            14.01           1.1175         288
         4236.256062            0.469            4.197           0.9856        1.368e-05            39.94           1.0508         289
         4237.672713            0.320            4.185           1.0092       -2.423e-04            13.99           2.0348         290
         4238.022409            1.252            7.067           0.9752        9.556e-05            26.59           1.0295         291
         4239.360265            0.708            5.421           1.0229       -1.721e-02             8.03          74.0014         292
         4241.120364            0.639            4.875           1.0236       -3.184e-05            10.04           1.2116         293
         4241.317257            0.041            3.545           0.9985        3.712e-06            19.00           0.9894         294
         4241.515925            0.123            6.728           0.9988        6.514e-06            16.69           1.0279         295
         4243.380645            3.126           12.123           0.9839        2.237e-04            66.21           2.9295         296
         4243.817847            0.656            5.411           1.0084       -1.980e-03            10.47           9.4690         297
         4245.297058            8.660           19.022           0.9327        1.002e-03            78.09           4.8938         298
         4246.063717            0.933            9.542           0.9804        3.358e-05            18.23           1.1029         299
         4246.397896            0.042            3.594           1.0019       -5.006e-05            19.71           1.2191         300
         4246.830907            1.480            9.719           0.9866        6.691e-05            29.44           1.2448         301
         4247.107415            0.046            2.447           1.0027       -2.103e-06            13.30           1.0137         302
         4247.724449            0.359            4.045           0.9973        4.680e-05             3.70           0.8212         303
         4251.330769            0.246            9.075           0.9896        1.817e-04             7.81           0.2852         304
         4252.062697            0.119            6.873           1.0127       -6.439e-03            12.95          28.4150         305
         4254.341898            2.124           15.089           1.0066        1.431e-04            59.88           1.6189         306
         4254.970045            0.817            9.006           0.9250        2.168e-04            12.81           0.2707         307
         4255.251344            0.691            6.464           0.9961        1.048e-05            10.41           1.0243         308
         4255.835379            0.998            7.226           1.0043        4.087e-05            12.38           1.1749         309
         4256.603782            0.234            4.551           1.0046       -6.588e-05            19.86           1.2980         310
         4256.806501            0.460            4.886           1.0039        9.359e-06            15.78           1.0039         311
         4257.136299            0.027            8.329           1.0016       -3.480e-04            21.14           2.4898         312
         4257.350039            0.096            4.826           0.9970        1.538e-05            21.12           0.9439         313
         4257.657401            0.685            5.743           1.0050       -1.385e-03            18.23           6.9231         314
         4262.342772            0.328            4.703           0.9959        2.272e-03            14.36          -8.6608         315
         4263.138653            0.682            4.840           1.0250       -2.487e-04             5.54           2.1362         316
         4263.608607            0.690           11.410           1.0033        6.993e-05            16.73           1.3064         317
         4264.224677            1.085            8.316           1.0155        2.034e-04            18.45           0.5646         318
         4265.669647            0.212            6.196           0.9651        2.870e-03             8.41         -11.1341         319
         4265.919371            0.765            5.408           1.0032       -2.535e-05            12.82           1.1747         320
         4266.207473            0.098            4.383           0.9989        1.110e-06            21.32           1.0006         321
         4266.961571            1.000            6.518           0.9511        1.616e-04            11.98           0.5132         322
         4267.385513            0.762            6.349           0.9738        1.137e-02             3.72         -47.3547         323
         4267.802351           11.326           18.972           1.0960        1.304e-03            84.88           6.2986         324
         4270.168854            0.473            7.355           1.0097       -1.355e-04             1.71           1.6319         325
         4272.877423            0.393            8.748           0.9812        2.767e-05             2.72           1.0591         326
         4276.679143            0.724            5.870           1.0155       -3.117e-05             7.28           1.2040         327
         4278.209329            1.287           10.736           1.0243        1.649e-04            33.13           1.1849         328
         4279.488321            0.893            6.157           1.0145        2.443e-05             3.16           1.1074         329
         4280.785990            0.558            4.467           1.0197       -7.275e-05            14.17           1.4567         330
         4281.373939            0.376            4.445           1.0028        2.858e-06            17.70           1.0118         331
         4281.594384            0.109            3.827           1.0016       -6.462e-06            19.97           1.0352         332
         4281.971954            0.736            8.324           1.0164        6.687e-06             8.74           1.0743         333
